Time,K004b_Raum.room_temperature
1334,21.5512
1335,21.551
1336,21.5508
1337,21.5506
1338,21.5504
1339,21.5502
1340,21.55
1340,21.55
1341,21.5497
1342,21.5495
1343,21.5493
1344,21.5491
1345,21.5488
1346,21.5486
1347,21.5484
1348,21.5481
1349,21.5479
1350,21.5476
1350,21.5476
1351,21.5474
1352,21.5471
1353,21.5469
1354,21.5466
1355,21.5463
1356,21.546
1357,21.5458
1358,21.5455
1359,21.5452
1360,21.5448
1360,21.5448
1361,21.5445
1362,21.5442
1363,21.5439
1364,21.5435
1365,21.5431
1366,21.5428
1367,21.5424
1368,21.542
1369,21.5416
1370,21.5412
1370,21.5412
1371,21.5408
1372,21.5404
1373,21.54
1374,21.5396
1375,21.5392
1376,21.5388
1377,21.5384
1378,21.538
1379,21.5376
1380,21.5372
1380,21.5372
1381,21.5368
1382,21.5365
1383,21.5361
1384,21.5357
1385,21.5353
1386,21.535
1387,21.5346
1388,21.5342
1389,21.5339
1390,21.5335
1390,21.5335
1391,21.5331
1392,21.5328
1393,21.5324
1394,21.532
1395,21.5316
1396,21.5312
1397,21.5308
1398,21.5304
1399,21.53
1400,21.5296
1400,21.5296
1401,21.5292
1402,21.5288
1403,21.5284
1404,21.528
1405,21.5276
1406,21.5272
1407,21.5268
1408,21.5264
1409,21.526
1410,21.5256
1410,21.5256
1411,21.5252
1412,21.5248
1413,21.5244
1414,21.524
1415,21.5236
1416,21.5232
1417,21.5228
1418,21.5224
1419,21.522
1420,21.5215
1420,21.5215
1421,21.5211
1422,21.5207
1423,21.5203
1424,21.5198
1425,21.5194
1426,21.519
1427,21.5186
1428,21.5181
1429,21.5177
1430,21.5173
1430,21.5173
1431,21.5169
1432,21.5164
1433,21.516
1434,21.5156
1435,21.5152
1436,21.5148
1437,21.5144
1438,21.5139
1439,21.5135
1440,21.5131
1440,21.5131
1441,21.5127
1442,21.5123
1443,21.5119
1444,21.5116
1445,21.5112
1446,21.5109
1447,21.5105
1448,21.5102
1449,21.5099
1450,21.5096
1450,21.5096
1451,21.5093
1452,21.509
1453,21.5087
1454,21.5084
1455,21.5082
1456,21.5079
1457,21.5076
1458,21.5073
1459,21.507
1460,21.5067
1460,21.5067
1461,21.5064
1462,21.5061
1463,21.5058
1464,21.5055
1465,21.5052
1466,21.5049
1467,21.5046
1468,21.5043
1469,21.504
1470,21.5037
1470,21.5037
1471,21.5033
1472,21.503
1473,21.5027
1474,21.5024
1475,21.5021
1476,21.5018
1477,21.5014
1478,21.5011
1479,21.5008
1480,21.5005
1480,21.5005
1481,21.5002
1482,21.4999
1483,21.4996
1484,21.4993
1485,21.499
1486,21.4987
1487,21.4985
1488,21.4982
1489,21.4979
1490,21.4976
1490,21.4976
1491,21.4974
1492,21.4971
1493,21.4969
1494,21.4966
1495,21.4964
1496,21.4961
1497,21.4959
1498,21.4956
1499,21.4954
1500,21.4952
1500,21.4952
1501,21.495
1502,21.4948
1503,21.4946
1504,21.4944
1505,21.4942
1506,21.494
1507,21.4938
1508,21.4936
1509,21.4934
1510,21.4932
1510,21.4932
1511,21.4931
1512,21.4929
1513,21.4927
1514,21.4926
1515,21.4924
1516,21.4922
1517,21.4921
1518,21.4919
1519,21.4917
1520,21.4916
1520,21.4916
1521,21.4914
1522,21.4913
1523,21.4911
1524,21.4909
1525,21.4908
1526,21.4906
1527,21.4905
1528,21.4903
1529,21.4902
1530,21.49
1530,21.49
1531,21.4898
1532,21.4897
1533,21.4895
1534,21.4894
1535,21.4892
1536,21.489
1537,21.4889
1538,21.4887
1539,21.4885
1540,21.4884
1540,21.4884
1541,21.4882
1542,21.488
1543,21.4879
1544,21.4877
1545,21.4875
1546,21.4874
1547,21.4872
1548,21.487
1549,21.4869
1550,21.4867
1550,21.4867
1551,21.4866
1552,21.4864
1553,21.4862
1554,21.4861
1555,21.4859
1556,21.4858
1557,21.4856
1558,21.4855
1559,21.4853
1560,21.4852
1560,21.4852
1561,21.4851
1562,21.4849
1563,21.4848
1564,21.4846
1565,21.4845
1566,21.4844
1567,21.4842
1568,21.4841
1569,21.4839
1570,21.4838
1570,21.4838
1571,21.4837
1572,21.4835
1573,21.4834
1574,21.4832
1575,21.483
1576,21.4829
1577,21.4827
1578,21.4825
1579,21.4823
1580,21.4822
1580,21.4822
1581,21.482
1582,21.4818
1583,21.4816
1584,21.4814
1585,21.4812
1586,21.481
1587,21.4808
1588,21.4806
1589,21.4804
1590,21.4802
1590,21.4802
1591,21.48
1592,21.4798
1593,21.4797
1594,21.4795
1595,21.4793
1596,21.4791
1597,21.4789
1598,21.4787
1599,21.4785
1600,21.4783
1600,21.4783
1601,21.4781
1602,21.4779
1603,21.4777
1604,21.4775
1605,21.4773
1606,21.4771
1607,21.4769
1608,21.4767
1609,21.4765
1610,21.4763
1610,21.4763
1611,21.4761
1612,21.476
1613,21.4758
1614,21.4756
1615,21.4754
1616,21.4753
1617,21.4751
1618,21.4749
1619,21.4747
1620,21.4746
1620,21.4746
1621,21.4744
1622,21.4743
1623,21.4741
1624,21.4739
1625,21.4738
1626,21.4736
1627,21.4735
1628,21.4733
1629,21.4731
1630,21.473
1630,21.473
1631,21.4728
1632,21.4727
1633,21.4725
1634,21.4724
1635,21.4722
1636,21.4721
1637,21.4719
1638,21.4718
1639,21.4716
1640,21.4715
1640,21.4715
1641,21.4713
1642,21.4712
1643,21.4711
1644,21.4709
1645,21.4708
1646,21.4706
1647,21.4705
1648,21.4704
1649,21.4702
1650,21.4701
1650,21.4701
1651,21.47
1652,21.4698
1653,21.4697
1654,21.4695
1655,21.4694
1656,21.4692
1657,21.4691
1658,21.4689
1659,21.4688
1660,21.4686
1660,21.4686
1661,21.4685
1662,21.4683
1663,21.4682
1664,21.4681
1665,21.4679
1666,21.4678
1667,21.4676
1668,21.4675
1669,21.4674
1670,21.4673
1670,21.4673
1671,21.4671
1672,21.467
1673,21.4669
1674,21.4668
1675,21.4667
1676,21.4667
1677,21.4666
1678,21.4665
1679,21.4664
1680,21.4664
1680,21.4664
1681,21.4663
1682,21.4663
1683,21.4662
1684,21.4662
1685,21.4661
1686,21.4661
1687,21.466
1688,21.466
1689,21.466
1690,21.4659
1690,21.4659
1691,21.4659
1692,21.4659
1693,21.4658
1694,21.4658
1695,21.4658
1696,21.4657
1697,21.4657
1698,21.4656
1699,21.4656
1700,21.4655
1700,21.4655
1701,21.4655
1702,21.4654
1703,21.4654
1704,21.4653
1705,21.4653
1706,21.4652
1707,21.4652
1708,21.4651
1709,21.465
1710,21.465
1710,21.465
1711,21.4649
1712,21.4649
1713,21.4648
1714,21.4648
1715,21.4647
1716,21.4646
1717,21.4646
1718,21.4645
1719,21.4644
1720,21.4644
1720,21.4644
1721,21.4643
1722,21.4642
1723,21.4641
1724,21.464
1725,21.4638
1726,21.4637
1727,21.4636
1728,21.4634
1729,21.4633
1730,21.4631
1730,21.4631
1731,21.4629
1732,21.4627
1733,21.4625
1734,21.4624
1735,21.4622
1736,21.462
1737,21.4618
1738,21.4616
1739,21.4614
1740,21.4612
1740,21.4612
1741,21.4609
1742,21.4607
1743,21.4605
1744,21.4604
1745,21.4602
1746,21.46
1747,21.4598
1748,21.4597
1749,21.4595
1750,21.4594
1750,21.4594
1751,21.4592
1752,21.4591
1753,21.4589
1754,21.4588
1755,21.4586
1756,21.4585
1757,21.4583
1758,21.4582
1759,21.458
1760,21.4579
1760,21.4579
1761,21.4577
1762,21.4576
1763,21.4575
1764,21.4573
1765,21.4572
1766,21.457
1767,21.4569
1768,21.4567
1769,21.4566
1770,21.4565
1770,21.4565
1771,21.4563
1772,21.4562
1773,21.456
1774,21.4559
1775,21.4557
1776,21.4555
1777,21.4554
1778,21.4552
1779,21.4551
1780,21.4549
1780,21.4549
1781,21.4547
1782,21.4545
1783,21.4544
1784,21.4542
1785,21.454
1786,21.4538
1787,21.4536
1788,21.4534
1789,21.4532
1790,21.453
1790,21.453
1791,21.4528
1792,21.4526
1793,21.4524
1794,21.4522
1795,21.452
1796,21.4518
1797,21.4516
1798,21.4513
1799,21.4511
1800,21.4509
1800,21.4509
1801,21.4506
1802,21.4504
1803,21.4502
1804,21.4499
1805,21.4497
