Time,room_radiator_window_withoutpe.room_temperature
8591,19.7938
8591,19.7938
8592,19.7923
8592,19.7923
8593,19.7908
8593,19.7908
8594,19.7894
8594,19.7894
8595,19.7879
8595,19.7879
8596,19.7864
8596,19.7864
8597,19.7849
8597,19.7849
8598,19.7835
8598,19.7835
8599,19.782
8599,19.782
8600,19.7805
8600,19.7805
8601,19.779
8601,19.779
8602,19.7776
8602,19.7776
8603,19.7761
8603,19.7761
8604,19.7746
8604,19.7746
8605,19.7731
8605,19.7731
8606,19.7716
8606,19.7716
8607,19.7701
8607,19.7701
8608,19.7686
8608,19.7686
8609,19.7671
8609,19.7671
8610,19.7656
8610,19.7656
8611,19.764
8611,19.764
8612,19.7625
8612,19.7625
8613,19.761
8613,19.761
8614,19.7595
8614,19.7595
8615,19.758
8615,19.758
8616,19.7565
8616,19.7565
8617,19.755
8617,19.755
8618,19.7534
8618,19.7534
8619,19.7519
8619,19.7519
8620,19.7504
8620,19.7504
8621,19.7489
8621,19.7489
8622,19.7473
8622,19.7473
8623,19.7458
8623,19.7458
8624,19.7443
8624,19.7443
8625,19.7428
8625,19.7428
8626,19.7413
8626,19.7413
8627,19.7399
8627,19.7399
8628,19.7384
8628,19.7384
8629,19.7369
8629,19.7369
8630,19.7354
8630,19.7354
8631,19.7339
8631,19.7339
8632,19.7325
8632,19.7325
8633,19.731
8633,19.731
8634,19.7295
8634,19.7295
8635,19.7281
8635,19.7281
8636,19.7266
8636,19.7266
8637,19.7251
8637,19.7251
8638,19.7237
8638,19.7237
8639,19.7222
8639,19.7222
8640,19.7208
8640,19.7208
8641,19.7193
8641,19.7193
8642,19.7178
8642,19.7178
8643,19.7164
8643,19.7164
8644,19.7149
8644,19.7149
8645,19.7134
8645,19.7134
8646,19.7119
8646,19.7119
8647,19.7104
8647,19.7104
8648,19.7089
8648,19.7089
8649,19.7074
8649,19.7074
8650,19.7059
8650,19.7059
8651,19.7044
8651,19.7044
8652,19.7029
8652,19.7029
8653,19.7014
8653,19.7014
8654,19.6999
8654,19.6999
8655,19.6985
8655,19.6985
8656,19.6971
8656,19.6971
8657,19.6956
8657,19.6956
8658,19.6942
8658,19.6942
8659,19.6928
8659,19.6928
8660,19.6914
8660,19.6914
8661,19.69
8661,19.69
8662,19.6885
8662,19.6885
8663,19.6871
8663,19.6871
8664,19.6857
8664,19.6857
8665,19.6843
8665,19.6843
8666,19.683
8666,19.683
8667,19.6816
8667,19.6816
8668,19.6802
8668,19.6802
8669,19.6789
8669,19.6789
8670,19.6775
8670,19.6775
8671,19.6761
8671,19.6761
8672,19.6748
8672,19.6748
8673,19.6734
8673,19.6734
8674,19.672
8674,19.672
8675,19.6706
8675,19.6706
8676,19.6691
8676,19.6691
8677,19.6677
8677,19.6677
8678,19.6663
8678,19.6663
8679,19.6649
8679,19.6649
8680,19.6634
8680,19.6634
8681,19.662
8681,19.662
8682,19.6606
8682,19.6606
8683,19.6592
8683,19.6592
8684,19.6578
8684,19.6578
8685,19.6564
8685,19.6564
8686,19.655
8686,19.655
8687,19.6536
8687,19.6536
8688,19.6521
8688,19.6521
8689,19.6507
8689,19.6507
8690,19.6493
8690,19.6493
8691,19.6479
8691,19.6479
8692,19.6466
8692,19.6466
8693,19.6452
8693,19.6452
8694,19.6438
8694,19.6438
8695,19.6424
8695,19.6424
8696,19.641
8696,19.641
8697,19.6397
8697,19.6397
8698,19.6383
8698,19.6383
8699,19.6369
8699,19.6369
8700,19.6356
8700,19.6356
8701,19.6342
8701,19.6342
8702,19.6328
8702,19.6328
8703,19.6315
8703,19.6315
8704,19.6301
8704,19.6301
8705,19.6287
8705,19.6287
8706,19.6273
8706,19.6273
8707,19.6259
8707,19.6259
8708,19.6245
8708,19.6245
8709,19.6231
8709,19.6231
8710,19.6217
8710,19.6217
8711,19.6203
8711,19.6203
8712,19.619
8712,19.619
8713,19.6175
8713,19.6175
8714,19.6161
8714,19.6161
8715,19.6146
8715,19.6146
8716,19.6132
8716,19.6132
8717,19.6117
8717,19.6117
8718,19.6103
8718,19.6103
8719,19.6088
8719,19.6088
8720,19.6074
8720,19.6074
8721,19.6059
8721,19.6059
8722,19.6045
8722,19.6045
8723,19.603
8723,19.603
8724,19.6016
8724,19.6016
8725,19.6001
8725,19.6001
8726,19.5987
8726,19.5987
8727,19.5972
8727,19.5972
8728,19.5958
8728,19.5958
8729,19.5943
8729,19.5943
8730,19.5929
8730,19.5929
8731,19.5914
8731,19.5914
8732,19.59
8732,19.59
8733,19.5885
8733,19.5885
8734,19.5871
8734,19.5871
8735,19.5856
8735,19.5856
8736,19.5842
8736,19.5842
8737,19.5828
8737,19.5828
8738,19.5813
8738,19.5813
8739,19.5799
8739,19.5799
8740,19.5784
8740,19.5784
8741,19.577
8741,19.577
8742,19.5756
8742,19.5756
8743,19.5741
8743,19.5741
8744,19.5727
8744,19.5727
8745,19.5713
8745,19.5713
8746,19.5699
8746,19.5699
8747,19.5685
8747,19.5685
8748,19.5671
8748,19.5671
8749,19.5657
8749,19.5657
8750,19.5643
8750,19.5643
8751,19.5629
8751,19.5629
8752,19.5615
8752,19.5615
8753,19.56
8753,19.56
8754,19.5586
8754,19.5586
8755,19.5571
8755,19.5571
8756,19.5556
8756,19.5556
8757,19.5542
8757,19.5542
8758,19.5527
8758,19.5527
8759,19.5513
8759,19.5513
8760,19.5498
8760,19.5498
8761,19.5484
8761,19.5484
8762,19.5469
8762,19.5469
8763,19.5455
8763,19.5455
8764,19.5441
8764,19.5441
8765,19.5426
8765,19.5426
8766,19.5412
8766,19.5412
8767,19.5398
8767,19.5398
8768,19.5384
8768,19.5384
8769,19.5369
8769,19.5369
8770,19.5355
8770,19.5355
8771,19.5341
8771,19.5341
8772,19.5327
8772,19.5327
8773,19.5313
8773,19.5313
8774,19.5299
8774,19.5299
8775,19.5285
8775,19.5285
8776,19.5271
8776,19.5271
8777,19.5257
8777,19.5257
8778,19.5243
8778,19.5243
8779,19.523
8779,19.523
8780,19.5216
8780,19.5216
8781,19.5202
8781,19.5202
8782,19.5188
8782,19.5188
8783,19.5174
8783,19.5174
8784,19.516
8784,19.516
8785,19.5146
8785,19.5146
8786,19.5132
8786,19.5132
8787,19.5118
8787,19.5118
8788,19.5104
8788,19.5104
8789,19.509
8789,19.509
8790,19.5076
8790,19.5076
8791,19.5062
8791,19.5062
8792,19.5048
8792,19.5048
8793,19.5034
8793,19.5034
8794,19.502
8794,19.502
8795,19.5006
8795,19.5006
8796,19.4992
8796,19.4992
8797,19.4978
8797,19.4978
8798,19.4964
8798,19.4964
8799,19.495
8799,19.495
8800,19.4936
8800,19.4936
8801,19.4922
8801,19.4922
8802,19.4908
8802,19.4908
8803,19.4894
8803,19.4894
8804,19.4881
8804,19.4881
8805,19.4867
8805,19.4867
8806,19.4854
8806,19.4854
8807,19.484
8807,19.484
8808,19.4826
8808,19.4826
8809,19.4813
8809,19.4813
8810,19.4799
8810,19.4799
8811,19.4786
8811,19.4786
8812,19.4773
8812,19.4773
8813,19.476
8813,19.476
8814,19.4747
8814,19.4747
8815,19.4734
8815,19.4734
8816,19.4722
8816,19.4722
8817,19.4709
8817,19.4709
8818,19.4696
8818,19.4696
8819,19.4684
8819,19.4684
8820,19.4671
8820,19.4671
8821,19.4657
8821,19.4657
8822,19.4643
8822,19.4643
8823,19.4629
8823,19.4629
8824,19.4614
8824,19.4614
8825,19.46
8825,19.46
8826,19.4586
8826,19.4586
8827,19.4571
8827,19.4571
8828,19.4557
8828,19.4557
8829,19.4543
8829,19.4543
8830,19.4528
8830,19.4528
8831,19.4514
8831,19.4514
8832,19.4499
8832,19.4499
8833,19.4485
8833,19.4485
8834,19.447
8834,19.447
8835,19.4456
8835,19.4456
8836,19.4441
8836,19.4441
8837,19.4427
8837,19.4427
8838,19.4412
8838,19.4412
8839,19.4398
8839,19.4398
8840,19.4383
8840,19.4383
8841,19.4369
8841,19.4369
8842,19.4354
8842,19.4354
8843,19.434
8843,19.434
8844,19.4325
8844,19.4325
8845,19.4311
8845,19.4311
8846,19.4296
8846,19.4296
8847,19.4282
8847,19.4282
8848,19.4267
8848,19.4267
8849,19.4253
8849,19.4253
8850,19.4238
8850,19.4238
8851,19.4224
8851,19.4224
8852,19.4208
8852,19.4208
8853,19.4193
8853,19.4193
8854,19.4178
8854,19.4178
8855,19.4163
8855,19.4163
8856,19.4148
8856,19.4148
8857,19.4133
8857,19.4133
8858,19.4118
8858,19.4118
8859,19.4103
8859,19.4103
8860,19.4088
8860,19.4088
8861,19.4073
8861,19.4073
8862,19.4058
8862,19.4058
8863,19.4042
8863,19.4042
8864,19.4027
8864,19.4027
8865,19.4012
8865,19.4012
8866,19.3997
8866,19.3997
8867,19.3982
8867,19.3982
8868,19.3967
8868,19.3967
8869,19.3951
8869,19.3951
8870,19.3936
8870,19.3936
8871,19.3922
8871,19.3922
8872,19.3908
8872,19.3908
8873,19.3893
8873,19.3893
8874,19.3879
8874,19.3879
8875,19.3865
8875,19.3865
8876,19.3851
8876,19.3851
8877,19.3837
8877,19.3837
8878,19.3823
8878,19.3823
8879,19.3809
8879,19.3809
8880,19.3795
